,Wavelength (nm),intensity,reference,reflectance,absorption
0,900.4884167037656,51565,16284,3.166605256693687,-0.5005939283783423
1,903.1154728417017,59583,18412,3.236096024331957,-0.5100213999052438
2,905.7406098573225,66412,20436,3.2497553337247993,-0.5118506652210121
3,909.6747170264126,74357,22920,3.244197207678883,-0.5111072461567362
4,912.2950562362453,79025,24324,3.248848873540536,-0.5117295097709837
5,914.9134763237627,83539,25812,3.236440415310708,-0.5100676158217472
6,917.5299772889648,88311,27388,3.224441361180079,-0.5084544833829965
7,920.1445591318516,93565,29132,3.211760263627626,-0.5067431206448362
8,922.7572218524232,99386,31180,3.187491982039769,-0.5034491009995758
9,925.3679654506795,106438,33340,3.19250149970006,-0.5041311099483918
10,929.2804824937228,118340,36900,3.2070460704607044,-0.5061051987819327
11,931.886428286191,127621,39752,3.210429663916281,-0.506563159563944
12,934.4904549563439,137867,42848,3.217583084391337,-0.5075297700680536
13,937.0925625041814,148948,46252,3.220358038571305,-0.5079041591280063
14,939.6927509297037,160551,49672,3.2322233854082785,-0.5095013680981005
15,942.2910202329108,172899,53136,3.2538956639566394,-0.5124036231876992
16,944.8873704138026,184652,56640,3.2600988700564972,-0.5132307712547021
17,948.7782973307992,202101,61608,3.280434359174133,-0.5159313520358045
18,951.3698497059029,213133,64696,3.2943767775442065,-0.5177732678910173
19,953.9594829586913,223565,67680,3.30326536643026,-0.5189434639569467
20,956.5471970891642,234423,70544,3.32307496030846,-0.5215401379928684
21,959.1329920973221,245131,73376,3.340751744439599,-0.5238442038554739
22,961.7168679831648,256166,76276,3.3584089359693743,-0.5261335767996124
23,964.298824746692,267316,79468,3.3638193990033725,-0.5268326707995499
24,968.1681615376418,284110,84140,3.376634181126694,-0.528484012449517
25,970.745320495381,295761,87196,3.391910179366026,-0.5304443432538443
26,973.3205603308048,307513,90220,3.4084792728884947,-0.5325606573787696
27,975.8938810439133,318961,93176,3.4232098394436337,-0.5344335217844571
