,Wavelength (nm),10.54,2.34,3.51,4.68,5.85,7.03,8.2,9.37
0,900.4884167037656,-0.5006287900238326,2.215835765833833,,-0.4998845656944124,-0.5025158171294456,-0.5035582099561345,-0.5005939283783423,-0.5036229286054835
1,904.4282812398017,-0.5080033482377065,2.647683832254746,1.7645947397283368,-0.5110719235981979,-0.5135575243456171,-0.5112439088654555,-0.5100213999052438,-0.5091870672864613
2,907.0524586942647,-0.509703956674621,,1.9075662861242728,-0.5129675212898847,-0.5113013429915692,-0.5136681658960092,-0.5118506652210121,-0.5105119149476803
3,909.6747170264126,-0.5089884785381227,1.868958664404846,2.4904267214992,-0.5146524293824328,-0.5167916419238228,-0.5115381073778126,-0.5111072461567362,-0.5094194508790327
4,913.6045061702932,-0.5084459515910704,,1.6814177439750106,-0.5186529363527188,-0.5164594088292133,-0.5133844813367802,-0.5117295097709837,-0.5096916988475924
5,916.2219666966533,-0.5063963424146553,,1.6742120402917255,-0.5194961877047468,-0.5148026716478847,-0.5126816966483548,-0.5100676158217472,-0.5070488802655186
6,920.1445591318517,-0.5032726554252418,1.9497652070845808,1.8639833841746307,-0.5200555923630394,-0.5142458799754027,-0.5120286362078298,-0.5084544833829965,-0.5038500007041274
7,922.7572218524233,-0.5011276897782627,,2.7859622260681247,-0.5210813522051112,-0.5147429730618499,-0.5099376798608876,-0.5067431206448362,-0.5020611323290038
8,926.6726175789394,-0.5020199331365288,,1.8234063759583976,-0.5231974935382447,-0.5173232628953792,-0.5079470603150159,-0.5034491009995758,-0.5009966866976896
9,929.2804824937227,-0.5049611412750343,,1.6027737046881028,-0.5181670019503634,-0.5149799479437973,-0.5069408219988837,-0.5041311099483918,-0.5039440909309325
10,931.886428286191,-0.5056865538754517,2.0695687021232527,2.057110726894679,-0.5166848110756666,-0.5085513171069883,-0.5061972967648065,-0.5061051987819327,-0.5051123382222562
11,935.7917486205521,-0.506709507556495,,1.632132457438192,-0.5152602950381778,-0.5135357134224204,-0.5093249979184964,-0.5065631595639439,-0.5069496354407703
12,938.392896607232,-0.5088671437115786,3.2490515288050847,3.125688234515031,-0.5169100833716879,-0.5113464234721732,-0.5077462307718508,-0.5075297700680536,-0.507543618635739
13,942.2910202329108,-0.511190075428904,1.850177565543532,1.793818882639049,-0.5137918361279991,-0.50920588505788,-0.5085978463949242,-0.5079041591280063,-0.5103647177463033
14,944.8873704138026,-0.5125911234565594,,1.7773112221103275,-0.5134679349985452,-0.5098133477072718,-0.5093657240377845,-0.5095013680981005,-0.5117147029255301
15,948.7782973307992,-0.5145650744258089,3.13656203658998,1.6548382234306391,-0.512423951662818,-0.5114218043489176,-0.5113670043990658,-0.5124036231876992,-0.5130571990551558
16,951.3698497059028,-0.5165483051789396,,1.7998087915279466,-0.5137629633716767,-0.5170742004752047,-0.5137846276285026,-0.5132307712547021,-0.5149989473655379
17,953.9594829586913,-0.5181724616813621,1.7774580427633568,1.6836473071414657,-0.5166063589320395,-0.51852439595529,-0.5147526281036796,-0.5159313520358045,-0.5172943333819979
18,957.8403344835326,-0.521941731496258,1.7898732648746485,1.8642633032831952,-0.5170573076825689,-0.5157466111348304,-0.5163802591863021,-0.5177732678910173,-0.5191212198880518
19,960.4251699305327,-0.5247355819742876,2.140002483044176,1.948472924289296,-0.5183292616246447,-0.5194099179702816,-0.5180410541190339,-0.5189434639569467,-0.5230347693224126
20,964.298824746692,-0.5262338898562043,,1.680442701538254,-0.5192151245415373,-0.521195820311409,-0.5195785412590035,-0.5215401379928684,-0.5253537213251783
21,966.8788623879041,-0.5275918593892353,1.9831694639324688,1.832371542949626,-0.5212426638474652,-0.5208378702424423,-0.5216995435620315,-0.5238442038554739,-0.5261398798951552
