,Wavelength (nm),intensity,reference,reflectance,absorption
0,900.4884167037656,65706,20748,3.1668594563331407,-0.5006287900238326
1,904.4282812398017,80231,24908,3.221093624538301,-0.5080033482377065
2,907.0524586942647,88255,27292,3.233731496409204,-0.509703956674621
3,909.6747170264126,95096,29456,3.228408473655622,-0.5089884785381227
4,913.6045061702933,104199,32316,3.224378017081322,-0.5084459515910704
5,916.2219666966531,110268,34360,3.209196740395809,-0.5063963424146553
6,920.1445591318516,120451,37804,3.186197227806581,-0.5032726554252418
7,922.7572218524232,128215,40440,3.170499505440158,-0.5011276897782627
8,926.6726175789394,141873,44656,3.177019885345754,-0.5020199331365288
9,929.2804824937228,152676,47732,3.1986088996899356,-0.5049611412750343
10,931.886428286191,164568,51364,3.203956078187057,-0.5056865538754517
11,935.791748620552,184572,57472,3.211511692650334,-0.506709507556495
12,938.392896607232,199447,61796,3.22750663473364,-0.5088671437115786
13,942.2910202329108,222205,68480,3.2448160046728973,-0.511190075428904
14,944.8873704138026,237663,73008,3.255300788954635,-0.5125911234565594
15,948.7782973307992,259753,79432,3.270130426024776,-0.5145650744258089
16,951.3698497059029,274056,83424,3.285097813578826,-0.5165483051789396
17,953.9594829586913,287824,87288,3.2974062872330676,-0.5181724616813621
18,957.8403344835326,308813,92844,3.3261492395846797,-0.521941731496258
19,960.4251699305329,322911,96460,3.3476155919552144,-0.5247355819742876
20,964.298824746692,344303,102496,3.359184748673119,-0.5262338898562043
21,966.8788623879041,358914,106512,3.3697048219918884,-0.5275918593892353
22,970.745320495381,381076,112432,3.3893909207343107,-0.530121661763545
23,973.3205603308048,396253,116320,3.4065766850068777,-0.5323181697323309
24,975.8938810439133,411171,120120,3.423001998001998,-0.5344071526350986
25,979.7502637592352,433269,125560,3.4506928958266965,-0.537906309745662
26,982.3187866665555,447191,129044,3.465414897244351,-0.5397552380233975
27,986.167972673195,467245,134256,3.480254141341914,-0.5416109589329089
28,988.7316977747273,479895,137248,3.4965536838423876,-0.5436402005063413
29,992.5736870726846,497467,141296,3.5207436870116635,-0.5466344092314172
30,995.1326143684287,507626,143580,3.535492408413428,-0.5484499090421188
31,997.6896225418575,517329,145716,3.550255291114222,-0.5502595833468759
32,1001.5215364476596,529740,148764,3.5609421634266356,-0.5515649199509606
33,1004.0737468153003,536940,150460,3.5686561212282335,-0.5525047009822
34,1007.8984640124202,546068,153048,3.5679525377659296,-0.5524190685954943
35,1010.4458765742727,551349,154156,3.5765652974908533,-0.553466158383969
36,1014.2633970627102,557566,155580,3.583789690191541,-0.5543425157587184
37,1016.8060118187746,560937,156564,3.582796811527554,-0.5542221790467777
38,1019.3467074525236,563843,157500,3.5799555555555553,-0.5538776349967268
39,1023.154152548806,566925,158560,3.575460393541877,-0.5533319715919689
40,1025.690050376767,568503,158988,3.5757604347497924,-0.5533684146676748
41,1029.4902987643673,570657,159644,3.5745596452105937,-0.5532225481134865
42,1032.02139878654,571823,160168,3.5701450976474702,-0.5526858670441506
43,1035.8144504654579,573657,161408,3.5540803429817607,-0.5507272411730666
44,1038.3407526818423,574818,161776,3.553172287607556,-0.5506162662405791
45,1042.126607652078,576524,162256,3.5531752292673304,-0.5506166257914187
46,1044.6481120626745,577802,162740,3.5504608578100036,-0.5502847291152163
47,1047.1676973509555,578434,163364,3.54076785583115,-0.5490974539435184
48,1050.943476929036,579182,164012,3.5313391703046118,-0.5479394317284124
49,1053.458264411529,580143,164364,3.529623275169745,-0.5477283546099542
50,1057.2268472809271,581014,165020,3.5208701975518117,-0.5466500144123871
51,1059.736836957632,581898,165512,3.5157450819275944,-0.5460173779131893
52,1063.498223118348,582484,166024,3.508432515780851,-0.5451131273502674
53,1066.0034149892645,582877,166352,3.5038773203808793,-0.5445488920125006
54,1068.5066877378658,583608,166808,3.498681118411587,-0.5439043612239206
55,1072.2579985064267,584245,167280,3.492617168818747,-0.5431509845551176
56,1074.7564734492398,584944,167548,3.491202521068589,-0.5429750425212696
57,1078.5005875091185,585481,168152,3.4818557019839194,-0.5418107687541205
58,1080.9942646461436,586037,168288,3.4823457406351017,-0.5418718873430162
59,1084.73118199734,586676,168836,3.474827643393589,-0.5409332678097367
60,1087.2200613285768,587267,169152,3.4718300699962166,-0.5405584603209868
61,1089.7070215374983,587796,169208,3.4738073849936173,-0.5408057341014336
62,1093.4338634965397,588204,169684,3.4664670799839703,-0.539887080187699
63,1095.916025899673,588709,169968,3.463646098089052,-0.5395335110881189
64,1099.635671150032,589365,170420,3.4583088839338108,-0.5388637803193597
65,1102.1130357473771,589640,170804,3.4521439778927894,-0.5380889004558018
66,1105.8254842890537,590472,171500,3.442985422740525,-0.5369351839487184
67,1108.298051080611,590678,171680,3.4405754892823857,-0.5366310910936506
68,1110.7686987498528,590793,171996,3.4349229051838415,-0.5359169940217764
69,1114.4710718993742,590641,172488,3.424244005380084,-0.5345647041401665
70,1116.9369217628278,590810,172756,3.4199101623098476,-0.5340146977153304
71,1120.6320982036673,590662,173148,3.41131286529443,-0.5329215521367745
72,1123.0931502613325,590213,173608,3.399687802405419,-0.5314390370664017
73,1126.7811299934897,590134,174428,3.383252688788497,-0.5293344356384664
74,1129.237384245367,589878,175092,3.368960318004249,-0.5274958955838865
75,1131.691719374929,589369,175728,3.353870754802877,-0.5255463225642129
76,1135.3696237149309,589020,176408,3.3389642193097817,-0.5236117651341609
77,1137.8191610387048,588430,177092,3.322736204910442,-0.5214958636081337
78,1141.4898686700244,587436,178052,3.2992384247298543,-0.5184137016632453
79,1143.93460818801,586776,178660,3.2843165789768274,-0.5164450125997094
80,1147.5981191106475,585960,179916,3.256853198159141,-0.512798183291225
81,1150.038060822845,585802,180600,3.2436434108527132,-0.5110331041053429
82,1152.4760834127273,585666,181332,3.229799483819734,-0.5091755607912384
83,1156.1295189432094,585964,182492,3.2109023957214564,-0.5066271041825596
84,1158.5627437273035,586418,183304,3.1991555012438355,-0.5050353503344369
85,1162.2089825491034,586967,184804,3.176159606934915,-0.5019023182731472
86,1164.6374095274095,587612,185968,3.1597479136195474,-0.4996524357541466
87,1168.2764516405273,588399,187564,3.13705721780299,-0.4965224400077501
88,1170.700080813045,589541,188872,3.121378499724681,-0.49434643459773
89,1173.1217908632475,590836,190280,3.1050872398570526,-0.4920738065275012
90,1176.75075758421,593147,192412,3.0826923476706236,-0.4889301843515529
91,1179.1676698286242,595165,193624,3.0738183283064084,-0.4876781958424574
92,1182.7894398409046,598475,195816,3.0563130694121012,-0.48519783856668486
93,1185.2015542795307,601008,197680,3.0403075677863214,-0.4829175205284031
94,1188.816127583129,605502,200524,3.019598651532984,-0.47994922275590585
95,1191.2234442159668,608977,201980,3.0150361421922964,-0.4792925225327536
96,1193.6288417264896,613297,203824,3.0089538032812624,-0.47841552003185744
97,1197.2333396379322,620249,206700,3.0007208514755686,-0.477225596123759
98,1199.633939342667,625932,208596,3.0006903296323997,-0.4772211786733741
99,1203.2312405454277,634932,211464,3.002553626149132,-0.4774907727219627
100,1205.627042444374,640652,213404,3.0020618170231113,-0.4774196307838721
101,1209.2171469384523,649964,216572,3.0011451157120956,-0.4772869955679008
102,1211.6081510316105,656274,218920,2.997780010962909,-0.47679975942274905
103,1213.9972360024535,663085,221364,2.995450931497443,-0.4764622098037212
104,1217.5772651043767,674599,225032,2.9977914252195244,-0.4768014130261514
105,1219.9615522694316,682141,227292,3.001165901131584,-0.4772900034070356
106,1223.5343846626724,694597,231160,3.0048321508911577,-0.47782021744434955
107,1225.9138740219391,703015,233568,3.0098943348403893,-0.4785512495469194
108,1229.479509706498,716737,237320,3.0201289398280804,-0.48002548489769503
109,1231.8542012599764,725790,239976,3.0244274427442743,-0.4806431700654677
110,1234.2269736911394,734637,242548,3.0288314065669475,-0.48127509993060513
111,1237.782533983543,748341,246400,3.0370982142857144,-0.482458836446631
112,1240.150508608918,757473,248984,3.042255727275648,-0.4831957173687713
113,1243.6988721926393,771289,252824,3.050695345378603,-0.48439883942633605
114,1246.0620490122262,780370,255048,3.059698566544337,-0.4856786430388539
115,1249.6032158872654,793804,259060,3.0641704624411332,-0.4863129218085808
116,1251.961594901064,802521,261656,3.067084263307549,-0.4867257077029924
117,1255.4955650674208,816261,265428,3.0752633482526335,-0.48788231224014006
118,1257.8491462754314,825470,267904,3.081215659340659,-0.4887220963642779
119,1260.2008083611265,834127,270320,3.0857021308079315,-0.48935400040824434
120,1263.7247031353281,846477,273516,3.09479884174966,-0.4906324256478134
121,1266.0715674152352,853181,275320,3.098870405346506,-0.4912034144387858
122,1269.5882654807547,863733,278156,3.1052107450495408,-0.4920910802955946
123,1271.9303319548735,870654,280216,3.107081679846975,-0.49235267026191243
124,1275.4398333117108,881002,283264,3.1101799028468142,-0.49278551074836074
125,1277.7771019800414,887576,284964,3.1146951895678052,-0.49341555212973637
126,1280.112451526057,894517,287024,3.1165233569318245,-0.49367038608076697
127,1283.611877490739,905819,290588,3.11719341473151,-0.49376375009351875
128,1285.9424292309664,913561,293140,3.1164665347615474,-0.4936624677123978
129,1289.4346584869659,925285,296896,3.1165290202629876,-0.4936711752778808
130,1291.7604124214051,932074,298988,3.1174294620519887,-0.49379663549840275
131,1295.2454449687225,942667,301928,3.1221582628971145,-0.4944549137683075
132,1297.5664010973737,949040,303964,3.122211840875893,-0.494462366440122
133,1299.8854381037092,955765,306016,3.123251725399979,-0.49460698856784974
134,1303.3603952588717,965019,308960,3.1234431641636458,-0.49463360770010406
135,1305.674634459419,970128,310700,3.1223945928548438,-0.4944877861929535
136,1309.1423949058992,977337,313096,3.1215250274676136,-0.49436682132641663
137,1311.4518363006587,981443,314596,3.1196931938104746,-0.49411188543291035
138,1314.9124000384563,988324,316724,3.1204581907275735,-0.49421836808724356
139,1317.2170436274275,992020,318340,3.1162279323993216,-0.4936292160618058
140,1319.5197680940835,995497,319616,3.1146657238686424,-0.4934114435893163
141,1322.9702564397262,1000030,321116,3.1142328628906686,-0.493351083276221
142,1325.268183100594,1002930,322016,3.114534681506509,-0.49339317126828797
143,1328.7114747375545,1007081,323580,3.1123091662031026,-0.4930827317967182
144,1331.0046035926339,1009684,324548,3.111046748092732,-0.4929065370766157
145,1334.440698520912,1011572,325400,3.108703134603565,-0.49257925110099765
146,1336.7290295702035,1012476,325944,3.1062881967454534,-0.49224174645045676
147,1339.0154414971796,1013502,326672,3.102506489689964,-0.49171269861028166
148,1342.4414610333026,1014976,327320,3.1008676524502015,-0.49148323059167875
149,1344.7230751544907,1014832,327756,3.096303347612248,-0.4908435023146136
150,1348.1418979819314,1013433,327852,3.0911295340580507,-0.4901172045935245
151,1350.4187142973312,1011406,327472,3.0885266526603803,-0.48975135346499865
152,1353.8303404160897,1007177,326588,3.0839375604737467,-0.48910557644240227
153,1356.1023589257015,1003458,326048,3.0776388752576307,-0.48821765913292864
154,1358.3724583129979,999887,325220,3.0744941885492896,-0.4877736764721094
155,1361.7740090396012,993530,323844,3.0679277676906165,-0.4868451302239214
156,1364.0393106211093,989441,323016,3.063133095574213,-0.4861658676579087
157,1367.4336646390307,983711,322104,3.0540167150982294,-0.48487140968669573
158,1369.6941684147505,980100,321396,3.049509016913714,-0.48422992183540875
159,1373.0813257239895,973862,320400,3.0395193508114855,-0.48280491262386405
160,1375.3370316939213,968375,319196,3.03379428313638,-0.48198612861692897
161,1377.5908185415378,962573,317836,3.02852099825067,-0.48123058919059697
162,1380.9679004586214,953549,315896,3.0185535745941703,-0.4797988883041644
163,1383.21688950045,947497,315132,3.0066670474594774,-0.47808533782545204
164,1386.5867747088514,940087,314204,2.991963819684027,-0.4759563375191001
