,Wavelength (nm),S1_1,S1_2,S1_3,S1_4,S1_5,S2_1,S2_2,S2_3,S2_4,S2_5,S3_1,S3_2,S3_3,S3_4,S3_5,S4_1,S4_2,S4_3,S4_4,S4_5,S5_1,S5_2,S5_3,S5_4,S5_5,S6_1,S6_2,S6_3,S6_4,S6_5,S7_1,S7_2,S7_3,S7_4,S7_5
0,902.0,0.0005536338237697628,0.0031767723543651085,-0.0028889446801610695,0.006372068316211182,-0.001043856122347873,-0.0124694158929199,0.004263745788951484,-0.0005710306139913969,0.0028010971285468596,0.003332553352816957,-0.008356372814044695,0.004428308530968539,-0.003082577093491783,-0.01268727870198429,-0.001996009440675988,-0.001331358232215419,0.0030733321674047136,0.002341707164026595,-0.007117097995915401,0.0003704102550243542,0.005262500445909796,-0.0019934843146565927,0.010595175611243905,-0.002129997179121916,0.00018622081607283698,-0.002417663710664399,0.008614199870538188,0.0014341842373140734,0.006790338958359869,0.002375365446559673,-0.01032419618229155,0.0017978371869462478,0.0009630717560867012,0.006021496105206427,0.008491083775704199
1,905.0,0.0005536338237697628,0.0031767723543651085,-0.0028889446801610695,0.006372068316211182,-0.001043856122347873,-0.0124694158929199,0.004263745788951484,-0.0005710306139913969,0.0028010971285468596,0.003332553352816957,-0.008356372814044695,0.004428308530968539,-0.003082577093491783,-0.01268727870198429,-0.001996009440675988,-0.001331358232215419,0.0030733321674047136,0.002341707164026595,-0.007117097995915401,0.0003704102550243542,0.005262500445909796,-0.0019934843146565927,0.010595175611243905,-0.002129997179121916,0.00018622081607283698,-0.002417663710664399,0.008614199870538188,0.0014341842373140734,0.006790338958359869,0.002375365446559673,-0.01032419618229155,0.0017978371869462478,0.0009630717560867012,0.006021496105206427,0.008491083775704199
2,909.0,0.0005536338237697625,0.003176772354365094,-0.0028889446801610734,0.0063720683162111855,-0.0010438561223478668,-0.01246941589291991,0.004263745788951488,-0.000571030613991403,0.0028010971285468574,0.003332553352816962,-0.0083563728140447,0.004428308530968545,-0.003082577093491783,-0.012687278701984297,-0.001996009440675986,-0.0013313582322154128,0.003073332167404711,0.002341707164026606,-0.0071170979959154085,0.0003704102550243721,0.005262500445909807,-0.0019934843146565953,0.010595175611243905,-0.002129997179121901,0.0001862208160728256,-0.0024176637106643924,0.008614199870538193,0.0014341842373140953,0.006790338958359897,0.0023753654465596833,-0.010324196182291549,0.001797837186946235,0.0009630717560867091,0.006021496105206419,0.008491083775704178
3,913.0,0.004238999535430214,-0.0007254442509809379,0.011693699872468542,0.005439534426423615,0.0005836104691640219,-0.005270961690364884,-0.008090530989121878,0.0003110538604977997,0.002343335868520321,-0.0023649823167490973,-0.006047710080135088,0.004886279820297724,0.009355812300933153,-0.0062099213808919085,0.008026115094915106,-0.003287737058642612,0.00439563220485341,-0.001566798450061324,-0.013869832147457833,-0.0015261569061967987,0.014817066261036786,-0.011650853941057571,0.003775123190783768,-0.0013353868296392965,0.010621021613434206,0.003385125337327875,0.014478800781918624,-0.0031627214833289032,0.009834085854042753,0.001215667368025505,0.009973960358426565,-0.002749793072118995,-0.0036874353842609973,-0.0018570795186490694,0.012515499307006031
4,917.0,0.0018870919861066673,-0.005136003502933492,0.011018596626013618,0.001717389460056657,0.007417012916584649,0.008571756812510722,-0.009759265935966604,0.005380887462149161,-0.0009918639003529974,-0.006867975232381429,0.000654755403358547,0.00792886280005613,0.008905074466291686,0.008047706880909292,0.006253807843122133,-0.0021194898791989884,0.001445812885184345,0.0018681518409704276,-0.012338695850915593,0.004466347812210862,0.027021375533257994,0.007561492239367999,-0.002393890757892224,-0.0024161223066855655,0.01011645571594584,0.0035124276538710587,0.00502002216808677,0.004470137937335854,0.010126788355641719,0.0042056152075185755,0.007859386289142598,-0.0023650392876768066,0.006941691373801113,0.0004255348639685617,-0.0028164338052384455
5,922.0,-0.003125218542125935,-0.0018313332046436415,0.013898662260331568,0.0005963363382377015,0.0024400136848621076,0.0095796091385126,-0.004213404709785448,0.004241695736381744,-0.004241538366902048,-0.007965531335297156,-0.003631306177234029,-0.002451193334388594,0.0038153930170398117,0.00792027994641363,-0.004846614531897683,0.0019373015057981204,-0.0038688024059825334,-0.0057130384048655145,0.0024086518493352618,0.003137060627001937,0.008492992802385416,0.01606791450628846,-0.0057538056219380036,0.005432085501432972,0.002550983812123354,-0.0002329974558047455,0.004487824328271983,0.010410602414476083,0.010403149798664997,-0.003129961048203311,-0.0007158239782360015,0.009795013431343435,0.012645558249459855,-0.0017588661408405796,-0.009626957242849062
6,926.0,-0.003585297135496099,0.007950644485710966,0.005549993923272646,0.0011654454066143977,-5.931000446553116e-05,0.0018195185589842812,-0.0036734606486218085,0.012971003416711419,-0.009297002091207558,0.0077144564031488,-0.0017536081167164072,0.0010206370628893712,-0.0023073293748383386,-0.0003314171077505963,-0.005642887807037538,0.0040183982868828025,-0.0016659982884270684,-0.0016780122023568257,0.007161068847699631,0.00012926270585525586,-0.007478010477914935,0.010155791998846966,-0.0046075851996556375,0.009388378476391256,0.0012593031633213905,0.002846566296426427,0.0037855963802162864,0.001091281860029375,-0.002066874739885958,-2.285562431874645e-05,0.0047487658375189815,0.0035223556005111686,0.0018781251867609236,0.0014120713146810555,-0.005470455569239574
7,930.0,-0.00222637774543377,-0.0023553307981463586,-0.00803346230614508,-0.0041127970576388395,-0.008374276428037385,-0.010738682276726627,-0.0008022930135651817,-0.00586525915916729,-0.008153316431228894,0.008659072010892319,0.0023217953653693526,-0.005746116883701852,-0.010261290966112169,-0.010041831310974811,-0.009996025948990003,-0.003549811696091575,0.0064901250554974515,-0.00423258009453546,-0.0024583270288252106,-0.0031127792341161596,-0.011422893451367547,-0.00037366288705034374,-0.0015479293622267442,0.0011794486367257295,-0.009471319249533202,-0.004999361964216556,0.0042518311668423405,0.0046713480837461225,-0.008034234809790215,0.00034193456643799136,-0.002865657824397767,8.231389218120205e-05,-0.0004536379083806591,-0.008919806772423879,-0.006025082602054156
8,934.0,-0.005814931546090871,-0.005649367557070675,-0.013003062773546062,-0.0071507089669692325,-0.009953998458297484,-0.01852684034627828,-0.0025504230313372327,-0.014269165467922198,-0.003786073085451256,-0.0012984160383392369,-0.002518784814101309,-0.0066719920057962,-0.005992491445352577,-0.011385971294476795,-0.008275383249492018,-0.005101036011237195,0.005152148386939039,-0.0033945306751190112,-6.63127957450018e-05,-0.008694642766416648,-0.012801610126849463,-0.01323558676709614,0.0006892867296474084,-0.004300051879963405,-0.009571870445510878,-0.0007899225982964011,-0.005843212336708881,-0.006043856647401834,-0.008372189480132262,-0.005826924949457133,-0.0016911193944377763,-0.007760248021074239,-0.0072683512456519096,-0.0067242297625804,-0.006957941008644101
9,938.0,-0.005662460194347194,-0.00863178228534883,-0.015356305185036515,-0.00874942305578829,-0.0063052468384159465,-0.010679110435061274,-0.005643954418110256,-0.013109026387821868,-0.005435735619891837,-0.01418587672814177,-0.006747491642247815,-0.008160801361022225,-0.010626631462313895,-0.005936595961974782,-0.008174983577908117,-0.002952691689090848,-0.003237699265053162,-0.005553512446223805,-0.009291397109372103,-0.016101181492362948,-0.005604165525832541,-0.014567312264256603,-0.007862573032045041,-0.009750939885183076,-0.00678961888289626,-0.005109198474254992,-0.011495724948942396,-0.010858695078777425,-0.004596147604505692,-0.0038582816708555246,-0.004462807399142683,-0.010590148636597057,-0.009257561078059333,-0.009844536527926334,-0.004159028830352242
