,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,-365,510560,,
1,1004.1040693206887,-236,516764,,
2,1006.6449008910107,-295,520400,,
3,1010.4525372467173,-112,525008,,
4,1012.9885541506707,-162,527424,,
5,1016.7889685068244,-132,530108,,
6,1019.3201707444091,-250,531408,,
7,1021.8494471154465,-244,532672,,
8,1025.6397506722262,-158,534620,,
9,1028.1642123768952,-327,536176,,
10,1031.947293934122,-257,537276,,
11,1034.4669409724222,-207,537588,,
12,1038.242800530096,-144,537616,,
13,1040.7576329020278,-179,537464,,
14,1044.526270460149,-180,537080,,
15,1047.036288165712,-229,536172,,
16,1050.7977037242804,-232,534028,,
17,1053.3029067634748,-293,533108,,
18,1055.8061839361221,-190,532376,,
19,1059.5574886953164,-198,531420,,
20,1062.0559512015948,-138,530992,,
21,1065.8000339612363,-216,530720,,
22,1068.2936818011462,-321,530780,,
23,1072.030542561235,-268,531160,,
24,1074.5193757347763,-241,530976,,
25,1078.2490144953122,-280,531516,,
26,1080.733033002485,-281,532264,,
27,1084.4554497634676,-143,533968,,
28,1086.9346536042722,-253,535252,,
29,1090.649848365702,-248,536716,,
30,1093.1242375401378,-250,538232,,
31,1095.596700848026,-166,539956,,
32,1099.3017848100822,-314,542956,,
33,1101.7694334516018,-216,545076,,
34,1105.4672954141051,-284,547836,,
35,1107.9301293892563,-210,549660,,
36,1111.6207693522065,-217,552512,,
37,1114.0787886609892,-191,554496,,
38,1117.7622066243866,-210,557392,,
39,1120.2154112668006,-262,558920,,
40,1123.8916072306451,-252,561472,,
41,1126.339997206691,-363,563324,,
42,1128.7864613161887,-179,565216,,
43,1132.4525464806593,-351,568416,,
44,1134.8941959237889,-252,570532,,
45,1138.5530590887065,-210,573236,,
46,1140.9898938654674,-158,575260,,
47,1144.6415350308325,-124,578484,,
48,1147.073555141225,-180,580648,,
49,1150.717974307037,-285,583640,,
50,1153.1451797510606,-327,585964,,
51,1156.7823769173199,-235,589744,,
52,1159.204767694975,-287,592428,,
53,1161.6252326060828,-259,595348,,
54,1165.2523189729682,-357,600000,,
55,1167.6679692177072,-150,603316,,
56,1171.2878335850396,-192,608376,,
57,1173.6986691634104,-43,611844,,
58,1177.3113115311899,-287,617532,,
59,1179.717332443192,-241,621280,,
60,1183.3227528114185,-113,628292,,
61,1185.723959057052,-296,632688,,
62,1189.322157425726,-249,639664,,
63,1191.7185490049908,-293,644816,,
64,1195.3095253741117,-235,652792,,
65,1197.7011022870083,-418,658476,,
66,1200.090753333357,-238,664176,,
