,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,45,510560,8.813851457223441e-05,4.054834273074092
1,1004.1040693206887,-38,516764,,
2,1006.6449008910107,-68,520400,,
3,1010.4525372467173,4,525008,7.618931521043489e-06,5.11810592984825
4,1012.9885541506707,-13,527424,,
5,1016.7889685068244,-42,530108,,
6,1019.3201707444091,32,531408,6.0217384758979915e-05,4.220278109823045
7,1021.8494471154465,99,532672,0.00018585546077135647,3.730824674019286
8,1025.6397506722262,13,534620,2.4316336837379822e-05,4.614101849265136
9,1028.1642123768952,-144,536176,,
10,1031.947293934122,48,537276,8.933955732249347e-05,4.0489562037880065
11,1034.4669409724222,-78,537588,,
12,1038.242800530096,-90,537616,,
13,1040.7576329020278,-55,537464,,
14,1044.526270460149,78,537080,0.00014522976092947048,3.837944377554391
15,1047.036288165712,-60,536172,,
16,1050.7977037242804,-72,534028,,
17,1053.3029067634748,29,533108,5.439798314787998e-05,4.2644172018456405
18,1055.8061839361221,-34,532376,,
19,1059.5574886953164,-113,531420,,
20,1062.0559512015948,-79,530992,,
21,1065.8000339612363,-94,530720,,
22,1068.2936818011462,68,530780,0.00012811334262783074,3.892405637406885
23,1072.030542561235,-111,531160,,
24,1074.5193757347763,52,530976,9.79328632555897e-05,4.009071547873935
25,1078.2490144953122,75,531516,0.00014110581807509086,3.850455079046397
26,1080.733033002485,-54,532264,,
27,1084.4554497634676,-42,533968,,
28,1086.9346536042722,87,535252,0.00016254026140957904,3.7890390461172943
29,1090.649848365702,-155,536716,,
30,1093.1242375401378,53,538232,9.847054801646874e-05,4.006693645102095
31,1095.596700848026,-1,539956,,
32,1099.3017848100822,11,542956,2.025946853888713e-05,4.69337195155501
33,1101.7694334516018,-132,545076,,
34,1105.4672954141051,66,547836,0.00012047401047028673,3.9191066321490533
35,1107.9301293892563,-39,549660,,
36,1111.6207693522065,-36,552512,,
37,1114.0787886609892,-94,554496,,
38,1117.7622066243866,-115,557392,,
39,1120.2154112668006,-121,558920,,
40,1123.8916072306451,-11,561472,,
41,1126.339997206691,-39,563324,,
42,1128.7864613161887,47,565216,8.315405084074054e-05,4.08011658931964
43,1132.4525464806593,-103,568416,,
44,1134.8941959237889,-64,570532,,
45,1138.5530590887065,-4,573236,,
46,1140.9898938654674,109,575260,0.00018947953968640266,3.7224376789994857
47,1144.6415350308325,-77,578484,,
48,1147.073555141225,-99,580648,,
49,1150.717974307037,-86,583640,,
50,1153.1451797510606,-38,585964,,
51,1156.7823769173199,-63,589744,,
52,1159.204767694975,75,592428,0.0001265976625007596,3.8975743130579485
53,1161.6252326060828,-25,595348,,
54,1165.2523189729682,159,600000,0.000265,3.576754126063192
55,1167.6679692177072,-105,603316,,
56,1171.2878335850396,9,608376,1.4793482977632254e-05,4.829929563671494
57,1173.6986691634104,-68,611844,,
58,1177.3113115311899,-7,617532,,
59,1179.717332443192,-92,621280,,
60,1183.3227528114185,-21,628292,,
61,1185.723959057052,69,632688,0.00010905849328579016,3.9623405066692534
62,1189.322157425726,-31,639664,,
63,1191.7185490049908,-114,644816,,
64,1195.3095253741117,-2,652792,,
65,1197.7011022870083,11,658476,1.6705240585837602e-05,4.777147265350645
66,1200.090753333357,118,664176,0.00017766375177663752,3.750401171008511
