,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,191,510560,0.00037409902851770607,3.4270134196017077
1,1004.1040693206887,188,516764,0.0003638024320579607,3.4391344019580177
2,1006.6449008910107,168,520400,0.0003228285933897002,3.491028006163686
3,1010.4525372467173,292,525008,0.0005561820010361747,3.2547830697277944
4,1012.9885541506707,306,527424,0.0005801783764106298,3.2364384616425315
5,1016.7889685068244,318,530108,0.0005998777607581851,3.221937238344312
6,1019.3201707444091,336,531408,0.0006322825399692892,3.1990888107531066
7,1021.8494471154465,231,532672,0.0004336627417998318,3.362847888724691
8,1025.6397506722262,253,534620,0.0004732333246043919,3.324924680396155
9,1028.1642123768952,202,536176,0.0003767419653248187,3.423956000996884
10,1031.947293934122,268,537276,0.0004988125283839219,3.302062647134805
11,1034.4669409724222,186,537588,0.00034598986584521974,3.4609366216464013
12,1038.242800530096,245,537616,0.0004557156037022708,3.3413061009199065
13,1040.7576329020278,260,537464,0.0004837533304556212,3.315376032012268
14,1044.526270460149,250,537080,0.000465480002979072,3.332098971572834
15,1047.036288165712,271,536172,0.0005054348231537641,3.296334839617281
16,1050.7977037242804,141,534028,0.00026403109949291046,3.5783449157714844
17,1053.3029067634748,296,533108,0.000555234586612844,3.2555234886856583
18,1055.8061839361221,275,532376,0.0005165522112191383,3.2868857750187632
19,1059.5574886953164,189,531420,0.0003556508975951225,3.448976090888198
20,1062.0559512015948,163,530992,0.0003069726097568325,3.5129003735851803
21,1065.8000339612363,309,530720,0.0005822279167922822,3.2349069747505723
22,1068.2936818011462,269,530780,0.0005068013112777422,3.2951622701107137
23,1072.030542561235,171,531160,0.0003219368928383161,3.492229251838728
24,1074.5193757347763,301,530976,0.0005668806123063942,3.2465083959148906
25,1078.2490144953122,198,531516,0.0003725193597182399,3.428851152176566
26,1080.733033002485,176,532264,0.0003306629792734433,3.4806144255799754
27,1084.4554497634676,190,533968,0.00035582656638600066,3.4487616301584247
28,1086.9346536042722,321,535252,0.0005997175162353434,3.2220532663310406
29,1090.649848365702,281,536716,0.0005235543564939372,3.2810382222948222
30,1093.1242375401378,286,538232,0.0005313693723152841,3.2746034815738407
31,1095.596700848026,251,539956,0.0004648526917008053,3.3326846499423763
32,1099.3017848100822,241,542956,0.0004438665379883453,3.3527475941383664
33,1101.7694334516018,197,545076,0.0003614174904050077,3.441990834059043
34,1105.4672954141051,253,547836,0.00046181704013609914,3.335530046515104
35,1107.9301293892563,245,549660,0.00044573008769057234,3.3509280491604985
36,1111.6207693522065,129,552512,0.00023347909185682844,3.631752004595796
37,1114.0787886609892,271,554496,0.0004887321098799631,3.3109291267267453
38,1117.7622066243866,229,557392,0.00041084192094612053,3.3863252488461737
39,1120.2154112668006,192,558920,0.00034351964502970015,3.464048421678559
40,1123.8916072306451,159,561472,0.00028318420152741364,3.5479309790219986
41,1126.339997206691,393,563324,0.0006976446947050011,3.156365704047442
42,1128.7864613161887,173,565216,0.000306077676498896,3.514168344126562
43,1132.4525464806593,325,568416,0.0005717643416089625,3.2427829331426943
44,1134.8941959237889,322,570532,0.0005643855208822642,3.248424136451346
45,1138.5530590887065,251,573236,0.0004378650329009343,3.3586597353845358
46,1140.9898938654674,214,575260,0.0003720057017696346,3.4294504035909186
47,1144.6415350308325,331,578484,0.000572185228977811,3.24246335774402
48,1147.073555141225,274,580648,0.00047188658188782186,3.3261623716609225
49,1150.717974307037,207,583640,0.0003546706874100473,3.4501747033299033
50,1153.1451797510606,328,585964,0.0005597613505266535,3.25199709127977
51,1156.7823769173199,352,589744,0.0005968691500040696,3.224120867630758
52,1159.204767694975,229,592428,0.0003865448628356526,3.4128000941097607
53,1161.6252326060828,277,595348,0.0004652740917916916,3.33229112994077
54,1165.2523189729682,345,600000,0.000575,3.2403321553103694
55,1167.6679692177072,336,603316,0.0005569220773193484,3.2542055656119064
56,1171.2878335850396,286,608376,0.0004701040146225361,3.327806039981776
57,1173.6986691634104,192,611844,0.0003138054798281915,3.5033394768154746
58,1177.3113115311899,283,617532,0.000458275846433869,3.3388730317731428
59,1179.717332443192,214,621280,0.00034445016739634304,3.4628735998527818
60,1183.3227528114185,234,628292,0.00037243829302298934,3.42894567249842
61,1185.723959057052,308,632688,0.0004868118251017879,3.3126388809060647
62,1189.322157425726,136,639664,0.00021261162110107807,3.672413001138506
63,1191.7185490049908,247,644816,0.0003830550110419096,3.4167388519416795
64,1195.3095253741117,276,652792,0.0004227992990110173,3.3738657414116773
65,1197.7011022870083,344,658476,0.000522418432866194,3.28198150793734
66,1200.090753333357,110,664176,0.0001656187516561875,3.7808904931564116
