,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,-32,510560,,
1,1004.1040693206887,-9,516764,,
2,1006.6449008910107,-117,520400,,
3,1010.4525372467173,-49,525008,,
4,1012.9885541506707,-156,527424,,
5,1016.7889685068244,-25,530108,,
6,1019.3201707444091,-118,531408,,
7,1021.8494471154465,25,532672,4.693319716448396e-05,4.328519859944798
8,1025.6397506722262,-127,534620,,
9,1028.1642123768952,-238,536176,,
10,1031.947293934122,-108,537276,,
11,1034.4669409724222,-163,537588,,
12,1038.242800530096,-110,537616,,
13,1040.7576329020278,-72,537464,,
14,1044.526270460149,-20,537080,,
15,1047.036288165712,36,536172,6.714263333407936e-05,4.1730016297244
16,1050.7977037242804,-50,534028,,
17,1053.3029067634748,-41,533108,,
18,1055.8061839361221,-112,532376,,
19,1059.5574886953164,-88,531420,,
20,1062.0559512015948,-42,530992,,
21,1065.8000339612363,-115,530720,,
22,1068.2936818011462,-58,530780,,
23,1072.030542561235,-69,531160,,
24,1074.5193757347763,-79,530976,,
25,1078.2490144953122,-42,531516,,
26,1080.733033002485,-129,532264,,
27,1084.4554497634676,-76,533968,,
28,1086.9346536042722,61,535252,0.000113965010873383,3.943228463725146
29,1090.649848365702,-33,536716,,
30,1093.1242375401378,-216,538232,,
31,1095.596700848026,-128,539956,,
32,1099.3017848100822,-125,542956,,
33,1101.7694334516018,-140,545076,,
34,1105.4672954141051,-46,547836,,
35,1107.9301293892563,-66,549660,,
36,1111.6207693522065,-185,552512,,
37,1114.0787886609892,-49,554496,,
38,1117.7622066243866,-156,557392,,
39,1120.2154112668006,-108,558920,,
40,1123.8916072306451,-168,561472,,
41,1126.339997206691,-217,563324,,
42,1128.7864613161887,-91,565216,,
43,1132.4525464806593,-4,568416,,
44,1134.8941959237889,-73,570532,,
45,1138.5530590887065,-23,573236,,
46,1140.9898938654674,-75,575260,,
47,1144.6415350308325,-96,578484,,
48,1147.073555141225,-89,580648,,
49,1150.717974307037,-16,583640,,
50,1153.1451797510606,-78,585964,,
51,1156.7823769173199,-76,589744,,
52,1159.204767694975,-90,592428,,
53,1161.6252326060828,-106,595348,,
54,1165.2523189729682,38,600000,6.333333333333333e-05,4.198367653766834
55,1167.6679692177072,-129,603316,,
56,1171.2878335850396,-98,608376,,
57,1173.6986691634104,-66,611844,,
58,1177.3113115311899,-38,617532,,
59,1179.717332443192,-101,621280,,
60,1183.3227528114185,-142,628292,,
61,1185.723959057052,14,632688,2.212781023189945e-05,4.655061561728271
62,1189.322157425726,-63,639664,,
63,1191.7185490049908,-108,644816,,
64,1195.3095253741117,-79,652792,,
65,1197.7011022870083,-37,658476,,
66,1200.090753333357,-166,664176,,
