,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,95,510560,0.00018607019743027264,3.7303231815605873
1,1004.1040693206887,158,516764,0.00030574885247424354,3.514635164267275
2,1006.6449008910107,184,520400,0.00035357417371252884,3.451519464880012
3,1010.4525372467173,107,525008,0.00020380641818791331,3.690782143491003
4,1012.9885541506707,168,527424,0.00031852930469603204,3.4968506063982487
5,1016.7889685068244,172,530108,0.0003244621850641756,3.4888359114211958
6,1019.3201707444091,-21,531408,,
7,1021.8494471154465,71,532672,0.00013329027994713445,3.87520151989776
8,1025.6397506722262,86,534620,0.00016086192061651267,3.7935467503284053
9,1028.1642123768952,-15,536176,,
10,1031.947293934122,32,537276,5.955970488166231e-05,4.225047462843688
11,1034.4669409724222,-26,537588,,
12,1038.242800530096,26,537616,4.8361655903098124e-05,4.315498837313621
13,1040.7576329020278,66,537464,0.00012279892234642694,3.9108054444412175
14,1044.526270460149,127,537080,0.00023646384151336858,3.6262352592889147
15,1047.036288165712,18,536172,3.357131666703968e-05,4.474031625388381
16,1050.7977037242804,131,534028,0.0002453054895997963,3.6102927327711
17,1053.3029067634748,41,533108,7.690749341596824e-05,4.114031343024862
18,1055.8061839361221,38,532376,7.137812373209912e-05,4.1464348722322155
19,1059.5574886953164,138,531420,0.0002596816077678672,3.5855588086602057
20,1062.0559512015948,0,530992,,
21,1065.8000339612363,-74,530720,,
22,1068.2936818011462,74,530780,0.00013941746109499226,3.8556828303821455
23,1072.030542561235,131,531160,0.00024663001732058135,3.6079540665751177
24,1074.5193757347763,-93,530976,,
25,1078.2490144953122,52,531516,9.783336719872967e-05,4.009512998803298
26,1080.733033002485,34,532264,6.387807554146063e-05,4.19464817635187
27,1084.4554497634676,-45,533968,,
28,1086.9346536042722,-71,535252,,
29,1090.649848365702,21,536716,3.912683802979602e-05,4.407525247465983
30,1093.1242375401378,122,538232,0.0002266680539247016,3.6446096840281355
31,1095.596700848026,75,539956,0.00013890020668350754,3.8572971080317147
32,1099.3017848100822,25,542956,4.604424667928893e-05,4.336824628041197
33,1101.7694334516018,34,545076,6.237662270949372e-05,4.204978143178381
34,1105.4672954141051,-1,547836,,
35,1107.9301293892563,155,549660,0.00028199250445730086,3.5497624353547392
36,1111.6207693522065,62,552512,0.00011221475732653771,3.9499500253967907
37,1114.0787886609892,60,554496,0.00010820637119113573,3.9657471672175073
38,1117.7622066243866,4,557392,7.176278095128742e-06,5.144100739858099
39,1120.2154112668006,62,558920,0.00011092821870750734,3.954957960883855
40,1123.8916072306451,-154,561472,,
41,1126.339997206691,124,563324,0.00022012199018681965,3.657336569260634
42,1128.7864613161887,40,565216,7.0769404970843e-05,4.150154455927395
43,1132.4525464806593,90,568416,0.00015833474075325113,3.800423784682244
44,1134.8941959237889,79,570532,0.00013846725512328844,3.8586529168567356
45,1138.5530590887065,12,573236,2.0933786433510806e-05,4.679152210817949
46,1140.9898938654674,72,575260,0.00012516079685707333,3.902531680508841
47,1144.6415350308325,148,578484,0.0002558411295731602,3.5920296361247814
48,1147.073555141225,-18,580648,,
49,1150.717974307037,69,583640,0.00011822356247001576,3.927295958049566
50,1153.1451797510606,67,585964,0.00011434149538196885,3.9417961322906225
51,1156.7823769173199,76,589744,0.00012886947556906047,3.889849938828098
52,1159.204767694975,-11,592428,,
53,1161.6252326060828,85,595348,0.00014277363827542883,3.8453519732909256
54,1165.2523189729682,68,600000,0.00011333333333333333,3.9456423376774072
55,1167.6679692177072,-21,603316,,
56,1171.2878335850396,-36,608376,,
57,1173.6986691634104,-50,611844,,
58,1177.3113115311899,77,617532,0.0001246898946127488,3.904168742124951
59,1179.717332443192,63,621280,0.00010140355395312902,3.9939468237483906
60,1183.3227528114185,16,628292,2.5465866189606106e-05,4.594041547252639
61,1185.723959057052,-39,632688,,
62,1189.322157425726,-32,639664,,
63,1191.7185490049908,22,644816,3.411826009280167e-05,4.467013124379139
64,1195.3095253741117,131,652792,0.00020067647887841763,3.6975035278211306
65,1197.7011022870083,45,658476,6.833962057842655e-05,4.165327436733526
66,1200.090753333357,124,664176,0.00018669750186697503,3.7288614931524013
