,Wavelength (nm),bf1
250,1537.0,-0.00025
251,1539.0,-0.0002
252,1541.0,-0.00015
253,1543.0,-0.00011
254,1545.0,-0.00016
255,1547.0,-0.00015
256,1551.0,-0.00017
257,1553.0,3e-05
258,1555.0,-0.0001
259,1557.0,-7e-05
260,1559.0,-6e-05
261,1561.0,-0.00022
262,1563.0,-0.00033
263,1566.0,-0.00021
264,1568.0,-4e-05
265,1570.0,-5e-05
266,1573.0,-0.00023
267,1575.0,-0.00017
268,1577.0,5e-05
269,1579.0,-7e-05
270,1582.0,-7e-05
271,1584.0,-5e-05
272,1586.0,-0.00013
273,1588.0,-0.00016
274,1590.0,-0.00015
275,1592.0,-8e-05
276,1595.0,-0.0002
277,1597.0,-0.00016
278,1599.0,-0.00022
279,1602.0,1e-05
280,1604.0,-0.00043
281,1606.0,-0.00014
282,1608.0,-0.00013
283,1611.0,-0.00026
284,1613.0,-0.00016
285,1615.0,-0.00018
286,1617.0,-0.00026
287,1619.0,-0.00021
288,1621.0,-0.00057
289,1623.0,-0.00022
290,1626.0,-0.00012
291,1628.0,-9e-05
292,1630.0,-0.00041
293,1632.0,-0.00026
294,1634.0,-0.0004
295,1636.0,-0.00024
296,1638.0,-0.00026
297,1641.0,-0.0002
298,1643.0,-0.00024
299,1645.0,-0.00022
300,1647.0,-7e-05
301,1649.0,-0.00032
302,1651.0,-0.00038
303,1653.0,-0.00055
304,1656.0,-0.00051
305,1658.0,-0.00087
306,1660.0,-0.0009
307,1662.0,-0.00137
308,1664.0,-0.00159
309,1666.0,-0.0019
310,1668.0,-0.00201
311,1671.0,-0.00223
312,1673.0,-0.0036
313,1675.0,-0.00413
314,1677.0,-0.00448
315,1679.0,-0.00596
316,1681.0,-0.00603
317,1684.0,-0.0058
318,1686.0,-0.00819
319,1688.0,-0.00625
320,1690.0,-0.00759
321,1692.0,-0.00618
322,1694.0,-0.00664
323,1696.0,-0.00847
324,1699.0,-0.00571
325,1701.0,-0.00718
