,Wavelength (nm),S1_1,S1_2,S1_3,S1_4,S1_5,S2_1,S2_2,S2_3,S2_4,S2_5,S3_1,S3_2,S3_3,S3_4,S3_5,S4_1,S4_2,S4_3,S4_4,S4_5,S5_1,S5_2,S5_3,S5_4,S5_5,S6_1,S6_2,S6_3,S6_4,S6_5,S7_1,S7_2,S7_3,S7_4,S7_5
10,941.468409,-0.5007875675621443,-0.4844290434767672,-0.5338895387470705,-0.52124965755717,-0.531594426339693,-0.44729710781397736,-0.3675165411835843,-0.43301421992429734,-0.3635273942206272,-0.3962268767099615,-0.40562167815905775,-0.42895387023193005,-0.3181603407363346,-0.35968174168963846,-0.42848254763858795,-0.6193790143536854,-0.45579214615459923,-0.5485895509515598,-0.43473352127159215,-0.5969191750184027,-0.5573543333588642,-0.6233398018645347,-0.5632926630393484,-0.5344973165155632,-0.6206538005511463,-0.6275239636290754,-0.6473350463139648,-0.6941678564907993,-0.6567710635253594,-0.6829526842240569,-0.6517792151426303,-0.6731025355144837,-0.7276672456776843,-0.7321499920863646,-0.6850684919145045
11,945.307312,-0.5202389670411621,-0.5424876481450959,-0.4934810223659024,-0.5421999857117433,-0.522734082951449,-0.44755304400711454,-0.4459876343092992,-0.44992712184979866,-0.42026247640609116,-0.4785929591084334,-0.4174614225103025,-0.45624925250579146,-0.42300773926828583,-0.40323127196390024,-0.4334801801737173,-0.5555141763573173,-0.5914246307560695,-0.6211080871992942,-0.5993592199563724,-0.7134763784919591,-0.626721329505737,-0.6745872354549017,-0.6045925599105242,-0.637518868546083,-0.6478915266885129,-0.6644972564311236,-0.7031875098721365,-0.6810057035418194,-0.6102278881756489,-0.6591441446271946,-0.7231740971231903,-0.6371117643778155,-0.7481107098464198,-0.7833948857041939,-0.7506188439280198
12,950.418863,-0.5933283770291451,-0.5964492135039571,-0.6100378584613829,-0.5496625339951233,-0.6060835290770207,-0.4481316823568166,-0.48508347304363236,-0.4827606723907368,-0.5342009728233624,-0.4559277932291566,-0.5071290026409742,-0.483033563426417,-0.47046487367104944,-0.5139929026996559,-0.4291033715559959,-0.6661866687215454,-0.6294925357013694,-0.6474243986618236,-0.6345154456192971,-0.6561874308395855,-0.7296245728455124,-0.6764049726762145,-0.6352436475056986,-0.6665815231192063,-0.6243261273682894,-0.7098726163391814,-0.6809526706661827,-0.7108510949420543,-0.6369077116709708,-0.676841476116081,-0.7924911074926737,-0.7004418057842946,-0.8211343434260027,-0.7505255201226464,-0.7653208701535394
13,954.247287,-0.6026917355010093,-0.5962770689951561,-0.572067192243222,-0.6268636883473768,-0.5867958634958466,-0.5621790755508713,-0.5033572570146548,-0.6001029879911985,-0.5628918860433302,-0.5782059729457824,-0.48824997316972774,-0.536758635681924,-0.47625055883529227,-0.46727102785084207,-0.5386477517825234,-0.5847828580968389,-0.699832795457266,-0.6682953151677713,-0.595342157134368,-0.5902690695353453,-0.6811383366695988,-0.6791236059765136,-0.7500123815086814,-0.6942942729717199,-0.6890450274244578,-0.7237244838411794,-0.68727954388245,-0.7205690114771021,-0.6876161209711797,-0.7509521108259594,-0.7260844283387026,-0.8659083539947059,-0.849611983905266,-0.79146748609822,-0.8133086503224126
14,958.071219,-0.6687758809811736,-0.5764230689800921,-0.6504808727222159,-0.6320840225856742,-0.6559157594465397,-0.5959515253844121,-0.5402289471188751,-0.4901746999322377,-0.5790381908791306,-0.5414266408081874,-0.5208118734215694,-0.5388550712329543,-0.5160141835752088,-0.5994693870067677,-0.5729482732192808,-0.6494908268429059,-0.6885554670104398,-0.6409010756933576,-0.6445627199878974,-0.6925271588547893,-0.7045676608803613,-0.7392205497232733,-0.69262801450719,-0.7104613671550214,-0.721447451489763,-0.7335747007314876,-0.7537885289947293,-0.7300424081856045,-0.6866951647208182,-0.7191164923870427,-0.7561054124987249,-0.7988394398812846,-0.817074555233111,-0.7808224433618428,-0.7767303232751254
15,961.89066,-0.6744353064948788,-0.6193100042727472,-0.6700756683720485,-0.6561389548026705,-0.7123385183181075,-0.5739187574534698,-0.6000238977274187,-0.5425857427481792,-0.6579744422138208,-0.5588965448577817,-0.5507080088942384,-0.5879909313369511,-0.5050545613196441,-0.5016051571642732,-0.6072074063948764,-0.7138745145313976,-0.661792576261017,-0.6753947720736232,-0.7276281914452155,-0.6894934528764267,-0.6810192448826932,-0.7397467368136545,-0.7486932006580733,-0.6959062180204474,-0.7731413115370429,-0.7707508744211917,-0.6836621925292201,-0.7110467108032913,-0.7737115764974009,-0.7336393519296796,-0.7889580702738409,-0.799571388506453,-0.8145453991582509,-0.7198206904250706,-0.8265705849318966
16,965.705609,-0.6631394612622377,-0.6641823395669084,-0.6009649161094356,-0.6981430979138983,-0.6422623044204404,-0.613844803582875,-0.6613947526417183,-0.6070710589888518,-0.6250908421027884,-0.5604016099801143,-0.5841862657889214,-0.5613317807477305,-0.598102480072189,-0.6059908953616671,-0.593559627277205,-0.6602291624352159,-0.672054760575968,-0.6410497554191348,-0.677816612452356,-0.7001854166294371,-0.6468954782077168,-0.7483570710198764,-0.669431093405215,-0.7258343997379626,-0.7384807971522586,-0.7204713937460122,-0.7650875144957453,-0.7093210994559471,-0.7646275989370158,-0.721340021195208,-0.8085503675782739,-0.7734520326119224,-0.7856210505930384,-0.829935696777825,-0.8098786139278554
17,969.516067,-0.6815786057713246,-0.6598672505462929,-0.6453751865317666,-0.6532873184786667,-0.639013127781318,-0.6542938497591249,-0.6616406384199225,-0.6296476090212443,-0.6411702423605392,-0.5929110166224999,-0.5973797188170892,-0.5756834987488137,-0.5643526499474361,-0.5815274381834814,-0.6059347173641915,-0.7290138073336696,-0.6134163440856815,-0.7301553735738655,-0.6766438148008743,-0.7016375258934701,-0.7337530881249423,-0.7824874791095399,-0.7477634165645706,-0.7831497660518429,-0.7091881306895549,-0.7668401704143148,-0.7779298101300879,-0.73760855024704,-0.7135354578658235,-0.7298565560642171,-0.8301484336933994,-0.8387669076776432,-0.8574884985384,-0.8083956041209021,-0.8324553229446936
18,974.58969,-0.6696040895929349,-0.6951683511511125,-0.6925912845002007,-0.6743411334353212,-0.6390937811021471,-0.6206326765312967,-0.6156711745221771,-0.6455682576366798,-0.6523210053686886,-0.6123765255380013,-0.565088560300633,-0.6279587971655486,-0.6058374641806568,-0.6465032957481602,-0.5721205079960713,-0.7458764223276337,-0.6746203066547057,-0.6951320056705207,-0.6647403803696914,-0.692545657061975,-0.7780234750443596,-0.6781748747074948,-0.7386721943170016,-0.7504900124290952,-0.7736491865223923,-0.7722200118835251,-0.78773436862417,-0.7140857429332307,-0.7687858559462242,-0.7538958392166433,-0.7888531934732818,-0.8387405311506108,-0.8429507780353755,-0.8297909557764653,-0.8457958080059622
19,978.389668,-0.6951865333784677,-0.6938371002830505,-0.7199021059018142,-0.7104235317608157,-0.7181225136118643,-0.6898133423023408,-0.6630153634526047,-0.6202936705139955,-0.6613865756943148,-0.6461122815393251,-0.67218774293261,-0.6577365260122713,-0.642469768276126,-0.6236312114221265,-0.5255794083210995,-0.6961131777492936,-0.7055914312599,-0.712062909443377,-0.6940972601654464,-0.7314381376687284,-0.7512119440854508,-0.7769784597238922,-0.771166956353991,-0.7460988517791121,-0.779509282507196,-0.7932636570582758,-0.7957023182265551,-0.7462575658260395,-0.7703696216191942,-0.7506794138966553,-0.8243015520622342,-0.8331289250243171,-0.7838736336685908,-0.793368856525175,-0.8221390302770981
