,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,-52,510560,,
1,1004.1040693206887,-128,516764,,
2,1006.6449008910107,-217,520400,,
3,1010.4525372467173,-147,525008,,
4,1012.9885541506707,-133,527424,,
5,1016.7889685068244,-146,530108,,
6,1019.3201707444091,-63,531408,,
7,1021.8494471154465,-191,532672,,
8,1025.6397506722262,-223,534620,,
9,1028.1642123768952,-79,536176,,
10,1031.947293934122,-136,537276,,
11,1034.4669409724222,-135,537588,,
12,1038.242800530096,-22,537616,,
13,1040.7576329020278,-108,537464,,
14,1044.526270460149,-80,537080,,
15,1047.036288165712,-134,536172,,
16,1050.7977037242804,61,534028,0.00011422622034799674,3.9422341934160974
17,1053.3029067634748,-141,533108,,
18,1055.8061839361221,-45,532376,,
19,1059.5574886953164,-75,531420,,
20,1062.0559512015948,31,530992,5.8381293880133786e-05,4.233726284154866
21,1065.8000339612363,-149,530720,,
22,1068.2936818011462,-180,530780,,
23,1072.030542561235,-138,531160,,
24,1074.5193757347763,-199,530976,,
25,1078.2490144953122,-82,531516,,
26,1080.733033002485,-116,532264,,
27,1084.4554497634676,-35,533968,,
28,1086.9346536042722,-57,535252,,
29,1090.649848365702,61,536716,0.00011365414856274081,3.9444147071891353
30,1093.1242375401378,-93,538232,,
31,1095.596700848026,-169,539956,,
32,1099.3017848100822,-110,542956,,
33,1101.7694334516018,-181,545076,,
34,1105.4672954141051,-19,547836,,
35,1107.9301293892563,-101,549660,,
36,1111.6207693522065,-157,552512,,
37,1114.0787886609892,-259,554496,,
38,1117.7622066243866,-165,557392,,
39,1120.2154112668006,-221,558920,,
40,1123.8916072306451,-128,561472,,
41,1126.339997206691,-95,563324,,
42,1128.7864613161887,45,565216,7.961558059219838e-05,4.099001933480014
43,1132.4525464806593,-196,568416,,
44,1134.8941959237889,-125,570532,,
45,1138.5530590887065,-148,573236,,
46,1140.9898938654674,-162,575260,,
47,1144.6415350308325,-76,578484,,
48,1147.073555141225,-9,580648,,
49,1150.717974307037,-78,583640,,
50,1153.1451797510606,-147,585964,,
51,1156.7823769173199,-131,589744,,
52,1159.204767694975,-186,592428,,
53,1161.6252326060828,-122,595348,,
54,1165.2523189729682,-171,600000,,
55,1167.6679692177072,-25,603316,,
56,1171.2878335850396,-100,608376,,
57,1173.6986691634104,-97,611844,,
58,1177.3113115311899,-123,617532,,
59,1179.717332443192,-155,621280,,
60,1183.3227528114185,-200,628292,,
61,1185.723959057052,-173,632688,,
62,1189.322157425726,-76,639664,,
63,1191.7185490049908,-102,644816,,
64,1195.3095253741117,-145,652792,,
65,1197.7011022870083,-111,658476,,
66,1200.090753333357,-142,664176,,
