,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,16,510560,3.133813851457223e-05,4.503926804193511
1,1004.1040693206887,-115,516764,,
2,1006.6449008910107,11,520400,2.1137586471944658e-05,4.6749446027313235
3,1010.4525372467173,22,525008,4.190412336573919e-05,4.377743240354007
4,1012.9885541506707,-9,527424,,
5,1016.7889685068244,-164,530108,,
6,1019.3201707444091,-83,531408,,
7,1021.8494471154465,-18,532672,,
8,1025.6397506722262,-1,534620,,
9,1028.1642123768952,-136,536176,,
10,1031.947293934122,16,537276,2.9779852440831157e-05,4.526077458507669
11,1034.4669409724222,-51,537588,,
12,1038.242800530096,-65,537616,,
13,1040.7576329020278,-121,537464,,
14,1044.526270460149,-40,537080,,
15,1047.036288165712,1,536172,1.8650731481688712e-06,5.729304130491687
16,1050.7977037242804,0,534028,,
17,1053.3029067634748,48,533108,9.003804107235307e-05,4.0455739623690095
18,1055.8061839361221,-276,532376,,
19,1059.5574886953164,93,531420,0.0001750028226261714,3.756954946507507
20,1062.0559512015948,-129,530992,,
21,1065.8000339612363,-60,530720,,
22,1068.2936818011462,-38,530780,,
23,1072.030542561235,-32,531160,,
24,1074.5193757347763,-27,530976,,
25,1078.2490144953122,20,531516,3.762821815335757e-05,4.424486346774116
26,1080.733033002485,-81,532264,,
27,1084.4554497634676,38,533968,7.116531327720013e-05,4.147731634494443
28,1086.9346536042722,-106,535252,,
29,1090.649848365702,-27,536716,,
30,1093.1242375401378,-128,538232,,
31,1095.596700848026,59,539956,0.00010926816259102594,3.9615063597812705
32,1099.3017848100822,-20,542956,,
33,1101.7694334516018,-113,545076,,
34,1105.4672954141051,-58,547836,,
35,1107.9301293892563,47,549660,8.550740457737511e-05,4.067996275589313
36,1111.6207693522065,-4,552512,,
37,1114.0787886609892,41,554496,7.394102031394275e-05,4.131114560881415
38,1117.7622066243866,2,557392,3.588139047564371e-06,5.44513073552208
39,1120.2154112668006,14,558920,2.50483074500823e-05,4.601221614703871
40,1123.8916072306451,-86,561472,,
41,1126.339997206691,-26,563324,,
42,1128.7864613161887,-84,565216,,
43,1132.4525464806593,-78,568416,,
44,1134.8941959237889,-87,570532,,
45,1138.5530590887065,-104,573236,,
46,1140.9898938654674,-46,575260,,
47,1144.6415350308325,-89,578484,,
48,1147.073555141225,-60,580648,,
49,1150.717974307037,-56,583640,,
50,1153.1451797510606,-79,585964,,
51,1156.7823769173199,81,589744,0.00013734773054070918,3.8621785122302392
52,1159.204767694975,57,592428,9.621422350057728e-05,4.016760720777158
53,1161.6252326060828,79,595348,0.00013269549910304562,3.877143807714777
54,1165.2523189729682,-82,600000,,
55,1167.6679692177072,-30,603316,,
56,1171.2878335850396,-49,608376,,
57,1173.6986691634104,-175,611844,,
58,1177.3113115311899,-44,617532,,
59,1179.717332443192,-56,621280,,
60,1183.3227528114185,-41,628292,,
61,1185.723959057052,-134,632688,,
62,1189.322157425726,-194,639664,,
63,1191.7185490049908,-108,644816,,
64,1195.3095253741117,-117,652792,,
65,1197.7011022870083,50,658476,7.593291175380728e-05,4.1195699461728505
66,1200.090753333357,-139,664176,,
