,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,-124,510560,,
1,1004.1040693206887,-49,516764,,
2,1006.6449008910107,-46,520400,,
3,1010.4525372467173,95,525008,0.00018094962362478285,3.7424423158873648
4,1012.9885541506707,60,527424,0.00011376046596286859,3.9440086377404677
5,1016.7889685068244,11,530108,2.075048857968565e-05,4.6829716731705195
6,1019.3201707444091,-46,531408,,
7,1021.8494471154465,-103,532672,,
8,1025.6397506722262,-27,534620,,
9,1028.1642123768952,-112,536176,,
10,1031.947293934122,79,537276,0.00014703802142660384,3.8325703498731523
11,1034.4669409724222,109,537588,0.00020275750202757503,3.693023067923694
12,1038.242800530096,6,537616,1.1160382131484182e-05,4.952320934900795
13,1040.7576329020278,-69,537464,,
14,1044.526270460149,-16,537080,,
15,1047.036288165712,18,536172,3.357131666703968e-05,4.474031625388381
16,1050.7977037242804,-10,534028,,
17,1053.3029067634748,13,533108,2.4385302790428955e-05,4.61287184743776
18,1055.8061839361221,-91,532376,,
19,1059.5574886953164,-149,531420,,
20,1062.0559512015948,25,530992,4.708168861301112e-05,4.3271479693171
21,1065.8000339612363,90,530720,0.00016958094663852878,3.770622944736082
22,1068.2936818011462,-149,530780,,
23,1072.030542561235,-82,531160,,
24,1074.5193757347763,-54,530976,,
25,1078.2490144953122,-43,531516,,
26,1080.733033002485,-19,532264,,
27,1084.4554497634676,-63,533968,,
28,1086.9346536042722,-68,535252,,
29,1090.649848365702,-137,536716,,
30,1093.1242375401378,12,538232,2.229521841882311e-05,4.651788268655259
31,1095.596700848026,-212,539956,,
32,1099.3017848100822,-125,542956,,
33,1101.7694334516018,-95,545076,,
34,1105.4672954141051,-42,547836,,
35,1107.9301293892563,-152,549660,,
36,1111.6207693522065,-117,552512,,
37,1114.0787886609892,-41,554496,,
38,1117.7622066243866,2,557392,3.588139047564371e-06,5.44513073552208
39,1120.2154112668006,-13,558920,,
40,1123.8916072306451,-91,561472,,
41,1126.339997206691,-127,563324,,
42,1128.7864613161887,-93,565216,,
43,1132.4525464806593,-106,568416,,
44,1134.8941959237889,30,570532,5.258250194555257e-05,4.279158753427515
45,1138.5530590887065,17,573236,2.965619744747364e-05,4.5278845354873
46,1140.9898938654674,-80,575260,,
47,1144.6415350308325,-125,578484,,
48,1147.073555141225,-76,580648,,
49,1150.717974307037,-73,583640,,
50,1153.1451797510606,-65,585964,,
51,1156.7823769173199,-214,589744,,
52,1159.204767694975,-162,592428,,
53,1161.6252326060828,-17,595348,,
54,1165.2523189729682,-104,600000,,
55,1167.6679692177072,-109,603316,,
56,1171.2878335850396,-97,608376,,
57,1173.6986691634104,-95,611844,,
58,1177.3113115311899,-172,617532,,
59,1179.717332443192,-122,621280,,
60,1183.3227528114185,-83,628292,,
61,1185.723959057052,-6,632688,,
62,1189.322157425726,-32,639664,,
63,1191.7185490049908,-100,644816,,
64,1195.3095253741117,-121,652792,,
65,1197.7011022870083,-104,658476,,
66,1200.090753333357,51,664176,7.678687576786875e-05,4.1147130022167
