Wavelength (nm),bf1,bf2,bf11,bf12,bf13
900.0,0.00065,0.4284886736122355,0.4280371066550944,0.4273381044565333,0.42724799251889223
903.0,-5e-05,0.4266033299200341,0.426739609709265,0.4266033299200341,0.42806570076065803
906.0,0.00048,0.4259425754690749,0.4252804613864715,0.4255591232387675,0.42432392268592134
910.0,0.0007,0.4246759770391919,0.424613866204676,0.4252353746387529,0.42514209165380845
912.0,-1e-05,0.42603285303156624,0.4236794230087993,0.4267956999058212,0.4247449261455177
915.0,0.00037,0.4247522082048766,0.4219960861075975,0.42498728713352574,0.4250841213365204
918.0,0.00078,0.4245106007850784,0.42284083741363454,0.4248636379121493,0.4206330619008795
920.0,0.00075,0.4228714555209758,0.4203959984577863,0.4234371513723748,0.4222819487529164
923.0,-0.00085,0.4205463317092226,0.4202817249358143,0.4203852475175057,0.42161791037571544
925.0,0.0005200000000000001,0.4214684834327597,0.4192986714609912,0.4204466768619396,0.4205111409383387
929.0,3e-05,0.4192632792959392,0.4184449544739167,0.4185603892495058,0.4194753324462086
932.0,0.00011,0.4193305568399178,0.4188750078305925,0.418660797057914,0.4171553803080198
934.0,0.00079,0.4180454527755799,0.4172049303958046,0.4177815843194314,0.4194416734567606
937.0,0.0004,0.4176019590956902,0.4159120655470458,0.41756382595884795,0.41775452513460315
940.0,-2e-05,0.4165119835657362,0.4150956323187073,0.415630625183584,0.4157503848896456
942.0,0.00074,0.4166524889764339,0.41661315427104495,0.4156047807786003,0.415375931143046
945.0,3e-05,0.41444165976738334,0.4135021034583996,0.4144294447006697,0.41359962513102605
949.0,0.00081,0.4141871335194228,0.4125616863565855,0.4141871335194228,0.4131454791075432
951.0,0.00038,0.4123705019892396,0.4123863011227663,0.4132614168459233,0.4119599261267393
954.0,5e-05,0.4117655798975014,0.4112795368141519,0.4113496537821139,0.41183577538753086
957.0,0.00039,0.4107918229289674,0.410558124851043,0.4114602254955374,0.41105906052337193
959.0,1e-05,0.4102324283083029,0.4102506541505492,0.410059320944472,0.40993636552370794
962.0,-0.00011,0.4104017032348552,0.4098132607216284,0.4099875309533552,0.40986117806464883
964.0,0.00032,0.4097035724651121,0.4087323177659592,0.4088989024065407,0.4095658806826558
968.0,3e-05,0.40820266873535904,0.4075340751114463,0.4079914226875901,0.4080892090103314
971.0,0.00011,0.4079905856901014,0.407836578555044,0.4079830718797412,0.40778024812362
973.0,0.00016,0.40788314402511777,0.4076159036529603,0.40788314402511777,0.4075112191514356
976.0,-9e-05,0.4072342612352733,0.4063518451377314,0.4068518924115741,0.4068935890183159
978.0,8e-05,0.4064959586502965,0.4065797407337151,0.4064490477425536,0.40675405925725894
981.0,-8e-05,0.40607997858114203,0.40560395420454015,0.40622256358745,0.40598926703551486
985.0,-8e-05,0.405969397086114,0.4058486793367347,0.4056259039175851,0.40560734445652846
987.0,-6e-05,0.4057058847725674,0.4054410416941228,0.40540193083669496,0.4050200330094161
990.0,-0.0003,0.4052103114707424,0.40496404297426347,0.4048409610740764,0.40517218935425664
993.0,-0.00039,0.4050221804942797,0.4039184799785075,0.4053716026494201,0.4044871359195425
995.0,-1e-05,0.4047686238479751,0.4045304308489841,0.40464250539881264,0.40511914516158615
998.0,-0.00025,0.4044124331243521,0.40427491808853,0.4043629226951807,0.40430791772624464
1000.0,-0.00029,0.40468599381384895,0.4038205795512015,0.4046589234985724,0.4045181850525967
1004.0,-2e-05,0.40437346445525696,0.4040664003705127,0.4039288213975869,0.4035507037941505
1007.0,-1e-05,0.4043607601391828,0.4038508882058769,0.40406260848532416,0.4038848610512501
1009.0,4e-05,0.4038334059289193,0.403745479501976,0.40358518888987216,0.40387737581882294
1012.0,-0.00013000000000000002,0.4042049199551361,0.4031458491034138,0.4034968769785149,0.4037353277501805
1014.0,-0.00024,0.403271150483497,0.40347727212902296,0.40332458003572,0.40369622445831194
1017.0,-0.00034,0.4035621084847994,0.40292730987679576,0.4030486338939003,0.4032888543114985
1019.0,3e-05,0.403835761940418,0.4035966372468114,0.4037854089569525,0.4036973052811979
1023.0,-0.0001,0.4034774550744556,0.40327241518490015,0.4032899148114503,0.40374765540718704
1026.0,-8e-05,0.4037673102190156,0.4033383946028818,0.40325365907877103,0.4034430907281029
